id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24541094,Trendy 2BR Condo @Capitalia Living StaFe,27449159,Capitalia,,Cuajimalpa de Morelos,19.34969,-99.30584,Entire home/apt,1992,2,16,2020-03-02,0.37,24,143,0,
24542010,Céntrico departamento en la mejor zona de Polanco,100412279,Carlos,,Miguel Hidalgo,19.43651,-99.20046,Entire home/apt,1423,2,28,2020-03-02,0.67,1,142,0,
24542878,YOUR home in ROMA neighborhood!,39392858,Luis,,Cuauhtémoc,19.406,-99.1591,Entire home/apt,498,4,117,2021-11-30,2.62,1,53,9,
24545328,"NJ13-P502, @ 3 blocks from World Trade Center",134086762,Alonso,,Benito Juárez,19.38992,-99.17907,Entire home/apt,1500,5,27,2021-09-11,0.60,7,358,5,
24551240,Habitaciones Don Hermilo,161490462,Hermilo,,Coyoacán,19.32273,-99.15397,Private room,210,2,16,2020-01-17,0.36,1,0,0,
24556619,El depa Condesa,124868343,Claudio,,Cuauhtémoc,19.41596,-99.16769,Entire home/apt,804,2,2,2018-06-19,0.05,1,34,0,
24559528,"The trendiest, chic and central flat in Mx City",6053576,Andrea,,Cuauhtémoc,19.42548,-99.15357,Entire home/apt,817,14,53,2021-11-13,1.22,1,91,7,
24560447,LOFT entrada Independiente MUY COMODO,149875947,Gabriela,,Gustavo A. Madero,19.47053,-99.06237,Private room,450,1,0,,,1,83,0,
24562429,✪Reforma✪Embassy Suites✪El Angel✪Estadias Largas✪,17528718,Tannia & Juan Carlos,,Cuauhtémoc,19.42843,-99.16533,Entire home/apt,874,2,60,2021-11-23,1.40,3,337,7,
24581749,Departamento cálido y luminoso céntrico,185687195,Marco,,Cuauhtémoc,19.45081,-99.13502,Entire home/apt,456,4,81,2021-11-29,2.22,1,350,6,
24583070,*Penthouse in Condesa with its own rooftop terrace,19510915,Hugo,,Cuauhtémoc,19.41923,-99.17603,Entire home/apt,1443,2,124,2021-12-18,2.80,2,113,28,
24583102,Cozy house at 8 km far from Santa Fe area,21248872,Katy,,Álvaro Obregón,19.36586,-99.21827,Entire home/apt,1500,1,13,2020-02-22,0.29,2,328,0,
24594669,Architectural Mexican Vecindad: Apartment,95148616,Lisa,,Cuauhtémoc,19.42094,-99.16078,Entire home/apt,1073,3,1,2020-01-02,0.04,1,0,0,
24597328,The last Jedai Condesa,63307033,Andres,,Cuauhtémoc,19.41904,-99.17596,Entire home/apt,4538,2,9,2021-11-03,0.26,9,83,2,
24599385,"Apartment. Great location, nice view, fast WiFi",195512260,Mariana,,Cuauhtémoc,19.42691,-99.1754,Entire home/apt,1025,2,43,2021-11-30,1.09,1,327,6,
24603985,Hermoso departamento privado.,147692642,Yoana,,Tlalpan,19.29583,-99.10909,Entire home/apt,356,1,124,2021-12-06,2.81,1,149,33,
24606140,Bello LOFT en La Roma frente a La Condesa,185946295,Rodrigo,,Cuauhtémoc,19.40891,-99.16725,Entire home/apt,951,2,115,2021-11-29,2.59,1,105,26,
24606547,Habitación cómoda y segura cerca del Aeropuerto,42062660,Elsa,,Venustiano Carranza,19.43899,-99.08486,Private room,370,1,42,2019-08-08,0.95,1,3,0,
24607433,Downtown aparment ..great view jade 46 eje central,160520603,Gerardo,,Cuauhtémoc,19.41915,-99.14252,Entire home/apt,784,2,90,2021-12-19,2.05,1,131,36,
24607523,Increíble recámara,117292898,Lino,,Álvaro Obregón,19.38092,-99.25167,Private room,650,1,11,2020-11-10,0.25,2,365,0,
